Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1,"Green, 112 (0x70) 7-Segment Clock Display"
"P1",1,"10 , 5  Power Supply"
"R1",1,"3 kΩ Resistor"
"R2",1,"15 kΩ Resistor"
