Name,Quantity,Component
"U1",1," Arduino Uno R3"
"SEN1",1," Soil Moisture Sensor"
"D1",1,"Red LED"
"D2",1,"Orange LED"
"D3",1,"Yellow LED"
"D4",1,"Green LED"
"R1",1,"220 Ω Resistor"
"D5",1,"Blue LED"
